,Transportation_Expense,Distance_to_Work,Age,Daily_Work_Load_Average,Body_Mass_Index,Education,Children,Pets,Sickness,Pregnancy,Injury,Doctors_Appt,Weekday,Month,Absenteeism_Time_in_Hours,Significant_Absence
0,289,36,33,239.554,30,0,2,1,0,0,0,1,1,7,4,1
1,179,51,38,239.554,31,0,0,0,0,0,0,1,2,7,2,0
2,279,5,39,239.554,24,0,2,0,1,0,0,0,3,7,4,1
3,289,36,33,239.554,30,0,2,1,0,0,0,1,3,7,2,0
4,179,51,38,239.554,31,0,0,0,0,0,0,1,2,10,2,0
5,361,52,28,239.554,27,0,1,4,0,0,0,1,4,7,8,1
6,260,50,36,239.554,23,0,4,0,0,0,0,1,4,7,4,1
7,155,12,34,239.554,25,0,2,0,0,0,1,0,6,6,40,1
8,235,11,37,239.554,29,1,1,1,0,0,0,1,0,7,8,1
9,260,50,36,239.554,23,0,4,0,1,0,0,0,0,7,8,1
10,260,50,36,239.554,23,0,4,0,1,0,0,0,1,7,8,1
11,260,50,36,239.554,23,0,4,0,1,0,0,0,2,7,8,1
12,179,51,38,239.554,31,0,0,0,1,0,0,0,2,7,1,0
13,179,51,38,239.554,31,0,0,0,0,0,0,1,2,7,4,1
14,246,25,41,239.554,23,0,0,0,1,0,0,0,4,7,8,1
15,179,51,38,239.554,31,0,0,0,0,0,0,1,4,7,2,0
16,179,51,38,239.554,31,0,0,0,0,0,1,0,0,7,8,1
17,189,29,33,239.554,25,0,2,2,1,0,0,0,3,7,8,1
18,248,25,47,205.917,32,0,2,1,0,0,0,1,4,5,2,0
19,330,16,28,205.917,25,1,0,0,1,0,0,0,1,12,8,1
20,179,51,38,205.917,31,0,0,0,1,0,0,0,6,3,1,0
21,361,52,28,205.917,27,0,1,4,1,0,0,0,3,10,40,1
22,260,50,36,205.917,23,0,4,0,0,0,0,1,4,8,4,1
23,289,36,33,205.917,30,0,2,1,0,0,1,0,0,8,8,1
24,361,52,28,205.917,27,0,1,4,0,0,0,1,0,8,7,1
25,289,36,33,205.917,30,0,2,1,0,0,0,1,2,4,1,0
26,157,27,29,205.917,22,0,0,0,0,0,0,1,1,12,4,1
27,289,36,33,205.917,30,0,2,1,0,0,1,0,2,8,8,1
28,179,51,38,205.917,31,0,0,0,0,0,0,1,4,8,2,0
29,179,51,38,205.917,31,0,0,0,0,0,1,0,0,8,8,1
30,235,29,48,205.917,33,0,1,5,0,0,1,0,3,8,8,1
31,235,11,37,205.917,29,1,1,1,0,0,0,1,3,8,4,1
32,235,29,48,205.917,33,0,1,5,0,0,1,0,0,8,8,1
33,179,51,38,205.917,31,0,0,0,0,0,0,1,0,8,2,0
34,361,52,28,205.917,27,0,1,4,0,0,0,1,0,8,1,0
35,289,36,33,205.917,30,0,2,1,0,0,0,1,2,4,8,1
36,291,50,32,205.917,23,0,0,0,1,0,0,0,3,8,4,1
37,235,29,48,205.917,33,0,1,5,0,0,0,1,4,8,8,1
38,260,50,36,205.917,23,0,4,0,0,0,0,1,4,8,4,1
39,184,42,27,241.476,21,0,0,0,0,0,0,1,4,1,2,0
40,118,10,37,241.476,28,0,0,0,0,0,0,1,3,7,4,1
41,179,51,38,241.476,31,0,0,0,0,0,0,1,4,1,4,1
42,235,20,43,241.476,38,0,1,0,0,0,1,0,6,8,8,1
43,155,12,34,241.476,25,0,2,0,0,0,0,1,2,9,2,0
44,118,10,37,241.476,28,0,0,0,0,0,0,1,6,9,3,0
45,179,51,38,241.476,31,0,0,0,0,0,0,1,0,9,3,0
46,291,31,40,241.476,25,0,1,1,0,0,0,1,3,9,4,1
47,260,50,36,241.476,23,0,4,0,0,0,0,1,3,4,8,1
